2025-12-03 02:29:46 startup archives install
2025-12-03 02:29:46 install base-passwd:amd64 <none> 3.6.8
2025-12-03 02:29:46 status half-installed base-passwd:amd64 3.6.8
2025-12-03 02:29:46 status unpacked base-passwd:amd64 3.6.8
2025-12-03 02:29:46 configure base-passwd:amd64 3.6.8 3.6.8
2025-12-03 02:29:46 status half-configured base-passwd:amd64 3.6.8
2025-12-03 02:29:46 status installed base-passwd:amd64 3.6.8
2025-12-03 02:29:46 startup archives install
2025-12-03 02:29:46 install base-files:amd64 <none> 1:2025.4.0
2025-12-03 02:29:46 status half-installed base-files:amd64 1:2025.4.0
2025-12-03 02:29:46 status unpacked base-files:amd64 1:2025.4.0
2025-12-03 02:29:46 configure base-files:amd64 1:2025.4.0 1:2025.4.0
2025-12-03 02:29:46 status half-configured base-files:amd64 1:2025.4.0
2025-12-03 02:29:46 status installed base-files:amd64 1:2025.4.0
2025-12-03 02:29:46 startup archives install
2025-12-03 02:29:46 upgrade dpkg 1.22.21+kali1 1.22.21+kali1
2025-12-03 02:29:46 status half-configured dpkg 1.22.21+kali1
2025-12-03 02:29:46 status unpacked dpkg 1.22.21+kali1
2025-12-03 02:29:46 status half-installed dpkg 1.22.21+kali1
2025-12-03 02:29:46 status unpacked dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:46 configure dpkg:amd64 1.22.21+kali1 1.22.21+kali1
2025-12-03 02:29:46 status half-configured dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:46 status installed dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:46 startup archives install
2025-12-03 02:29:46 install libc6:amd64 <none> 2.41-12
2025-12-03 02:29:46 status half-installed libc6:amd64 2.41-12
2025-12-03 02:29:46 status unpacked libc6:amd64 2.41-12
2025-12-03 02:29:46 configure libc6:amd64 2.41-12 2.41-12
2025-12-03 02:29:46 status half-configured libc6:amd64 2.41-12
2025-12-03 02:29:46 status installed libc6:amd64 2.41-12
2025-12-03 02:29:46 startup archives install
2025-12-03 02:29:46 install perl-base:amd64 <none> 5.40.1-6
2025-12-03 02:29:46 status half-installed perl-base:amd64 5.40.1-6
2025-12-03 02:29:46 status unpacked perl-base:amd64 5.40.1-6
2025-12-03 02:29:46 configure perl-base:amd64 5.40.1-6 5.40.1-6
2025-12-03 02:29:46 status half-configured perl-base:amd64 5.40.1-6
2025-12-03 02:29:46 status installed perl-base:amd64 5.40.1-6
2025-12-03 02:29:47 startup archives install
2025-12-03 02:29:47 install mawk:amd64 <none> 1.3.4.20250131-1
2025-12-03 02:29:47 status half-installed mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:47 status unpacked mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:47 configure mawk:amd64 1.3.4.20250131-1 1.3.4.20250131-1
2025-12-03 02:29:47 status half-configured mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:47 status installed mawk:amd64 1.3.4.20250131-1
2025-12-03 02:29:47 startup archives install
2025-12-03 02:29:47 install debconf:all <none> 1.5.91
2025-12-03 02:29:47 status half-installed debconf:all 1.5.91
2025-12-03 02:29:47 status unpacked debconf:all 1.5.91
2025-12-03 02:29:47 configure debconf:all 1.5.91 1.5.91
2025-12-03 02:29:47 status half-configured debconf:all 1.5.91
2025-12-03 02:29:47 status installed debconf:all 1.5.91
2025-12-03 02:29:47 startup archives unpack
2025-12-03 02:29:47 install apt:amd64 <none> 3.1.12+kali1
2025-12-03 02:29:47 status half-installed apt:amd64 3.1.12+kali1
2025-12-03 02:29:47 status unpacked apt:amd64 3.1.12+kali1
2025-12-03 02:29:47 install apt-utils:amd64 <none> 3.1.12+kali1
2025-12-03 02:29:47 status half-installed apt-utils:amd64 3.1.12+kali1
2025-12-03 02:29:47 status unpacked apt-utils:amd64 3.1.12+kali1
2025-12-03 02:29:47 upgrade base-files:amd64 1:2025.4.0 1:2025.4.0
2025-12-03 02:29:47 status half-configured base-files:amd64 1:2025.4.0
2025-12-03 02:29:47 status unpacked base-files:amd64 1:2025.4.0
2025-12-03 02:29:47 status half-installed base-files:amd64 1:2025.4.0
2025-12-03 02:29:47 status unpacked base-files:amd64 1:2025.4.0
2025-12-03 02:29:47 upgrade base-passwd:amd64 3.6.8 3.6.8
2025-12-03 02:29:47 status half-configured base-passwd:amd64 3.6.8
2025-12-03 02:29:47 status unpacked base-passwd:amd64 3.6.8
2025-12-03 02:29:47 status half-installed base-passwd:amd64 3.6.8
2025-12-03 02:29:47 status unpacked base-passwd:amd64 3.6.8
2025-12-03 02:29:47 install bash:amd64 <none> 5.3-1
2025-12-03 02:29:47 status half-installed bash:amd64 5.3-1
2025-12-03 02:29:47 status unpacked bash:amd64 5.3-1
2025-12-03 02:29:47 install bsdutils:amd64 <none> 1:2.41.2-4
2025-12-03 02:29:47 status half-installed bsdutils:amd64 1:2.41.2-4
2025-12-03 02:29:47 status unpacked bsdutils:amd64 1:2.41.2-4
2025-12-03 02:29:47 install coreutils:amd64 <none> 9.7-3
2025-12-03 02:29:47 status half-installed coreutils:amd64 9.7-3
2025-12-03 02:29:47 status unpacked coreutils:amd64 9.7-3
2025-12-03 02:29:47 install dash:amd64 <none> 0.5.12-12
2025-12-03 02:29:47 status half-installed dash:amd64 0.5.12-12
2025-12-03 02:29:47 status unpacked dash:amd64 0.5.12-12
2025-12-03 02:29:47 upgrade debconf:all 1.5.91 1.5.91
2025-12-03 02:29:47 status half-configured debconf:all 1.5.91
2025-12-03 02:29:47 status unpacked debconf:all 1.5.91
2025-12-03 02:29:47 status half-installed debconf:all 1.5.91
2025-12-03 02:29:47 status unpacked debconf:all 1.5.91
2025-12-03 02:29:47 install debian-archive-keyring:all <none> 2025.1
2025-12-03 02:29:47 status half-installed debian-archive-keyring:all 2025.1
2025-12-03 02:29:47 status unpacked debian-archive-keyring:all 2025.1
2025-12-03 02:29:47 install debianutils:amd64 <none> 5.23.2
2025-12-03 02:29:47 status half-installed debianutils:amd64 5.23.2
2025-12-03 02:29:47 status unpacked debianutils:amd64 5.23.2
2025-12-03 02:29:47 install diffutils:amd64 <none> 1:3.12-1
2025-12-03 02:29:47 status half-installed diffutils:amd64 1:3.12-1
2025-12-03 02:29:47 status unpacked diffutils:amd64 1:3.12-1
2025-12-03 02:29:47 upgrade dpkg:amd64 1.22.21+kali1 1.22.21+kali1
2025-12-03 02:29:47 status half-configured dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:47 status unpacked dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:47 status half-installed dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:47 status unpacked dpkg:amd64 1.22.21+kali1
2025-12-03 02:29:47 install findutils:amd64 <none> 4.10.0-3
2025-12-03 02:29:47 status half-installed findutils:amd64 4.10.0-3
2025-12-03 02:29:47 status unpacked findutils:amd64 4.10.0-3
2025-12-03 02:29:47 install gcc-15-base:amd64 <none> 15.2.0-7
2025-12-03 02:29:47 status half-installed gcc-15-base:amd64 15.2.0-7
2025-12-03 02:29:47 status unpacked gcc-15-base:amd64 15.2.0-7
2025-12-03 02:29:47 install grep:amd64 <none> 3.12-1
2025-12-03 02:29:47 status half-installed grep:amd64 3.12-1
2025-12-03 02:29:47 status unpacked grep:amd64 3.12-1
2025-12-03 02:29:47 install gzip:amd64 <none> 1.13-1
2025-12-03 02:29:47 status half-installed gzip:amd64 1.13-1
2025-12-03 02:29:47 status unpacked gzip:amd64 1.13-1
2025-12-03 02:29:47 install hostname:amd64 <none> 3.25
2025-12-03 02:29:47 status half-installed hostname:amd64 3.25
2025-12-03 02:29:47 status unpacked hostname:amd64 3.25
2025-12-03 02:29:47 install init-system-helpers:all <none> 1.69+kali1
2025-12-03 02:29:47 status half-installed init-system-helpers:all 1.69+kali1
2025-12-03 02:29:47 status unpacked init-system-helpers:all 1.69+kali1
2025-12-03 02:29:47 install libacl1:amd64 <none> 2.3.2-2+b1
2025-12-03 02:29:47 status half-installed libacl1:amd64 2.3.2-2+b1
2025-12-03 02:29:47 status unpacked libacl1:amd64 2.3.2-2+b1
2025-12-03 02:29:47 install libapt-pkg7.0:amd64 <none> 3.1.12+kali1
2025-12-03 02:29:47 status half-installed libapt-pkg7.0:amd64 3.1.12+kali1
2025-12-03 02:29:47 status unpacked libapt-pkg7.0:amd64 3.1.12+kali1
2025-12-03 02:29:47 install libattr1:amd64 <none> 1:2.5.2-3
2025-12-03 02:29:47 status half-installed libattr1:amd64 1:2.5.2-3
2025-12-03 02:29:47 status unpacked libattr1:amd64 1:2.5.2-3
2025-12-03 02:29:47 install libaudit-common:all <none> 1:4.1.2-1
2025-12-03 02:29:47 status half-installed libaudit-common:all 1:4.1.2-1
2025-12-03 02:29:47 status unpacked libaudit-common:all 1:4.1.2-1
2025-12-03 02:29:47 install libaudit1:amd64 <none> 1:4.1.2-1
2025-12-03 02:29:47 status half-installed libaudit1:amd64 1:4.1.2-1
2025-12-03 02:29:47 status unpacked libaudit1:amd64 1:4.1.2-1
2025-12-03 02:29:47 install libblkid1:amd64 <none> 2.41.2-4
2025-12-03 02:29:47 status half-installed libblkid1:amd64 2.41.2-4
2025-12-03 02:29:47 status unpacked libblkid1:amd64 2.41.2-4
2025-12-03 02:29:47 install libbsd0:amd64 <none> 0.12.2-2
2025-12-03 02:29:47 status half-installed libbsd0:amd64 0.12.2-2
2025-12-03 02:29:47 status unpacked libbsd0:amd64 0.12.2-2
2025-12-03 02:29:47 install libbz2-1.0:amd64 <none> 1.0.8-6
2025-12-03 02:29:47 status half-installed libbz2-1.0:amd64 1.0.8-6
2025-12-03 02:29:47 status unpacked libbz2-1.0:amd64 1.0.8-6
2025-12-03 02:29:47 install libc-bin:amd64 <none> 2.41-12
2025-12-03 02:29:47 status half-installed libc-bin:amd64 2.41-12
2025-12-03 02:29:47 status unpacked libc-bin:amd64 2.41-12
2025-12-03 02:29:47 upgrade libc6:amd64 2.41-12 2.41-12
2025-12-03 02:29:47 status half-configured libc6:amd64 2.41-12
2025-12-03 02:29:47 status unpacked libc6:amd64 2.41-12
2025-12-03 02:29:47 status half-installed libc6:amd64 2.41-12
2025-12-03 02:29:48 status unpacked libc6:amd64 2.41-12
2025-12-03 02:29:48 install libcap-ng0:amd64 <none> 0.8.5-4+b1
2025-12-03 02:29:48 status half-installed libcap-ng0:amd64 0.8.5-4+b1
2025-12-03 02:29:48 status unpacked libcap-ng0:amd64 0.8.5-4+b1
2025-12-03 02:29:48 install libcap2:amd64 <none> 1:2.75-10+b1
2025-12-03 02:29:48 status half-installed libcap2:amd64 1:2.75-10+b1
2025-12-03 02:29:48 status unpacked libcap2:amd64 1:2.75-10+b1
2025-12-03 02:29:48 install libcrypt1:amd64 <none> 1:4.5.1-1
2025-12-03 02:29:48 status half-installed libcrypt1:amd64 1:4.5.1-1
2025-12-03 02:29:48 status unpacked libcrypt1:amd64 1:4.5.1-1
2025-12-03 02:29:48 install libdb5.3t64:amd64 <none> 5.3.28+dfsg2-10
2025-12-03 02:29:48 status half-installed libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-12-03 02:29:48 status unpacked libdb5.3t64:amd64 5.3.28+dfsg2-10
2025-12-03 02:29:48 install libdebconfclient0:amd64 <none> 0.281
2025-12-03 02:29:48 status half-installed libdebconfclient0:amd64 0.281
2025-12-03 02:29:48 status unpacked libdebconfclient0:amd64 0.281
2025-12-03 02:29:48 install libgcc-s1:amd64 <none> 15.2.0-7
2025-12-03 02:29:48 status half-installed libgcc-s1:amd64 15.2.0-7
2025-12-03 02:29:48 status unpacked libgcc-s1:amd64 15.2.0-7
2025-12-03 02:29:48 install libgmp10:amd64 <none> 2:6.3.0+dfsg-5
2025-12-03 02:29:48 status half-installed libgmp10:amd64 2:6.3.0+dfsg-5
2025-12-03 02:29:48 status unpacked libgmp10:amd64 2:6.3.0+dfsg-5
2025-12-03 02:29:48 install libhogweed6t64:amd64 <none> 3.10.2-1
2025-12-03 02:29:48 status half-installed libhogweed6t64:amd64 3.10.2-1
2025-12-03 02:29:48 status unpacked libhogweed6t64:amd64 3.10.2-1
2025-12-03 02:29:48 install liblz4-1:amd64 <none> 1.10.0-6
2025-12-03 02:29:48 status half-installed liblz4-1:amd64 1.10.0-6
2025-12-03 02:29:48 status unpacked liblz4-1:amd64 1.10.0-6
2025-12-03 02:29:48 install liblzma5:amd64 <none> 5.8.1-2
2025-12-03 02:29:48 status half-installed liblzma5:amd64 5.8.1-2
2025-12-03 02:29:48 status unpacked liblzma5:amd64 5.8.1-2
2025-12-03 02:29:48 install libmd0:amd64 <none> 1.1.0-2+b1
2025-12-03 02:29:48 status half-installed libmd0:amd64 1.1.0-2+b1
2025-12-03 02:29:48 status unpacked libmd0:amd64 1.1.0-2+b1
2025-12-03 02:29:48 install libmount1:amd64 <none> 2.41.2-4
2025-12-03 02:29:48 status half-installed libmount1:amd64 2.41.2-4
2025-12-03 02:29:48 status unpacked libmount1:amd64 2.41.2-4
2025-12-03 02:29:48 install libnettle8t64:amd64 <none> 3.10.2-1
2025-12-03 02:29:48 status half-installed libnettle8t64:amd64 3.10.2-1
2025-12-03 02:29:48 status unpacked libnettle8t64:amd64 3.10.2-1
2025-12-03 02:29:48 install libpam-modules:amd64 <none> 1.7.0-5
2025-12-03 02:29:48 status half-installed libpam-modules:amd64 1.7.0-5
2025-12-03 02:29:48 status unpacked libpam-modules:amd64 1.7.0-5
2025-12-03 02:29:48 install libpam-modules-bin:amd64 <none> 1.7.0-5
2025-12-03 02:29:48 status half-installed libpam-modules-bin:amd64 1.7.0-5
